Element,Attribute,Description
,majorVersion,Major version number of the Xactimate install that produced this report.
,minorVersion,Minor version number of the Xactimate install that produced this report.
,transactionId,Transaction ID (MFN) from XA
ADDRESS,zip,Zip code (postal) part of the address.(Example: 84097-1111)
ADDRESS,type,"The type of address (Example: Property, Billing, etc.)"
ADDRESS,street,Street part of the address.
ADDRESS,city,City part of the address.
ADDRESS,state,State part of the address. (Example: UT)
ADDRESS,primary,Is this address the primary address?
PHONE,type,"The type of phone number.(Example: Home, Cell, etc.)"
PHONE,phone,The phone number.  It contains dashes between the numbers NNN-NNN-NNNN or NNN-NNNN.
PHONE,ext,The extension part of the phone number.
PHONE,primary,Is this phone the primary phone number?
CONTACT,type,"Type of contact. (Example: Claim Rep, Estimator, etc.)"
CONTACT,name,Contact name.
CONTACT,title,Contact title (position).
CONTACT,company,Name of company this contact is associated with.
DATES,loss,Date and time of Loss.
DATES,inspected,Date and time Inspected.
DATES,completed,Date and time Completed.
DATES,received,Date and time Received.
DATES,entered,Date and time Entered.
DATES,contacted,Date and time Contacted.
EST_CHANGE,reason,The reason for the change.
EST_CHANGE,onsite,Was this onsite change?
ESTIMATE_INFO,estimateType,The type of estimate.
ESTIMATE_INFO,deprMat,Whether the Depreciate Materials setting is turned on in the estimate.
ESTIMATE_INFO,deprNonMat,Whether the Depreciate Non-Materials setting is turned on in the estimate
ESTIMATE_INFO,deprRemoval,Whether the Depreciate Removal setting is turned on in the estimate
ESTIMATE_INFO,deprOandP,Whether the Depreciate O&amp;P setting is turned on in the estimate
ESTIMATE_INFO,deprTaxes,Whether the Depreciate Taxes setting is turned on in the estimate
ESTIMATE_INFO,inspNotPerformed,Whether an inspection was NOT performed.
ESTIMATE_INFO,roofDamage,"One of: ""0"" for None, ""1"" for PartialReplacement, ""2"" for TotalReplacement."
ESTIMATE_INFO,scopeType,"How the loss was scoped - whether it be drone, onsite, etc."
ESTIMATE_INFO,estimateCount,The estimate interations from XactAnalysis
ESTIMATE_INFO,onsite,Was this an onsite inspection?
ESTIMATE_INFO,printOnsite,Was the estimate printed onsite?
ESTIMATE_INFO,onsitePayment,Was there an onsite payment?
ESTIMATE_INFO,estimatedOnsite,Was estimated onsite?
ESTIMATE_INFO,isTotalLoss,Was this a total loss?
ESTIMATE_INFO,backInProgress,"One of: ""0"" for NotApplicable, ""1"" for Supplement, ""2"" for Correction."
ESTIMATE_INFO,afo,Adjusting Field Office.
ESTIMATE_INFO,xsImported,Was XactScope imported into this estimate?
ESTIMATE_INFO,recipientsXNAddress,Recipient's Xactnet address
ESTIMATE_INFO,causeOfLoss,Cause of Loss.
ESTIMATE_INFO,otherCause,Cause of Loss other field.
ESTIMATE_INFO,rotationTrade,Job Type
ESTIMATE_INFO,carrierId,Dataset ID
ESTIMATE_INFO,originalTransactionId,Original Transaction ID (MFN) from XA.
ESTIMATE_INFO,usedAerialSketch,Was Aerial Sketch used?
ESTIMATE_INFO,policyNumber,Policy Number
ESTIMATE_INFO,claimNumber,Claim Number
ESTIMATE_INFO,estimateName,Estimate Name.  This is the main identifier for the estimate.
ESTIMATE_INFO,insuredName,Insured Name.
ESTIMATE_INFO,priceList,The price list that is used for the estimate.
ESTIMATE_INFO,laborEff,Labor Efficiency Text.
ESTIMATE_INFO,typeOfLoss,Type of Loss.
ESTIMATE_INFO,laborCostModel,"LaborMinimums, BSC or None"
ESTIMATE_INFO,waterLossCategory,"None, One, Two, Three or Unknown"
ESTIMATE_INFO,waterLossClass,"None, Class 1, Class 2, Class 3, Class 4, or Unknown"
ADDRESS,zip,Zip code (postal) part of the address.(Example: 84097-1111)
ADDRESS,type,"The type of address (Example: Property, Billing, etc.)"
ADDRESS,street,Street part of the address.
ADDRESS,city,City part of the address.
ADDRESS,state,State part of the address. (Example: UT)
ADDRESS,primary,Is this address the primary address?
PHONE,type,"The type of phone number.(Example: Home, Cell, etc.)"
PHONE,phone,The phone number.  It contains dashes between the numbers NNN-NNN-NNNN or NNN-NNNN.
PHONE,ext,The extension part of the phone number.
PHONE,primary,Is this phone the primary phone number?
OPENING_STATEMENT,,The opening statement text.
PERMIT_FEE,desc,Description of permit/fee
PERMIT_FEE,amount,The amount attributed to the permit/fee.
SALES_TAX,desc,Description of this sales tax.
SALES_TAX,rate,Rate for the tax.
SALES_TAX,base,"Base for the tax. As of version 27.5, this attribute is no longer written out. (Do not Remove until version 30.0)"
SALES_TAX,amount,Amount for the tax.
SALES_TAX,taxOnDepr,Tax on depreciation (include recoverable and non-recoverable depreciation).
SALES_TAX,taxOnRecDepr,Tax on recoverable depreciation.
SIGNATURE,estimator,Estimator name.
SIGNATURE,estimatorTitle,Estimator title/position.
PAYMENT_TRACKER,ptEstValue,The estimated value.
PAYMENT_TRACKER,ptNumItemActs,The number of item activities in payment tracker.
PAYMENT_TRACKER,ptItemsWithRemaining,The number of items with estimated amounts remaining.
PAYMENT_TRACKER,ptTotalPaid,The total paid to date.
PAYMENT_TRACKER,ptRecoverableDep,The total recoverable depreciation.
PAYMENT_TRACKER,ptNonRecoverableDep,The total non-recoverable depreciation.
PAYMENT_TRACKER,ptEstRemaining,The estimated remaining.
PAYMENT_TRACKER,ptNumItemOverrides,The number of items whose payment amount has been overridden by the user.
PAYMENT_TRACKER,ptItemOverrideAmt,The total override amount.
FEES_NOTE,,Notes about the permits/fees.
OVERHEAD,rate,Overhead or Profit rate.
OVERHEAD,base,"Base for the tax. As of version 27.5, this attribute is no longer written out. (Do not Remove until version 30.0)"
OVERHEAD,amount,Calculated amount of Overhead or Profit.
PROFIT,rate,Overhead or Profit rate.
PROFIT,base,"Base for the tax. As of version 27.5, this attribute is no longer written out. (Do not Remove until version 30.0)"
PROFIT,amount,Calculated amount of Overhead or Profit.
SUBLIMIT_INFO,desc,Sublimit name/description.
SUBLIMIT_INFO,singleItemLimit,The sublimit single item limit.
SUBLIMIT_INFO,aggLimit,The sublimit aggregate limit.
SUBLIMIT_INFO,acv,The ACV amount in the estimate that is attributed to this sublimit.
SUBLIMIT_INFO,rc,The replacement cost amount in the estimate that is attributed to this sublimit.
SUBLIMIT_INFO,overage,The overage amount attributed to this sublimit.
TOTALS,permit,Permit/Fees total amount.
TOTALS,bscTotal,Base Service Charges total.
TOTALS,recDepr,Recoverable Depreciation amount. This is the sum of all depreciation in the estimate that was marked recoverable.
TOTALS,nonRecDepr,Non-recoverable Depreciation amount. This is the sum of all depreciation in the estimate that was marked non-recoverable.
TOTALS,actualRecDepr,"The actual amount of depreciation that can be recovered by the insured (adjusted by prior payments, coinsurance/ITV, deductible, overage, and salvage). This differs from recDepr in that recDepr is just the sum of all depreciation in the estimate that was marked recoverable."
TOTALS,netClaim,Net claim amount.
TOTALS,fullDeduct,The full Deductible amount.
TOTALS,fullSalvRet,Salvage Retention amount applied. (Amount that can be subtracted from acv amount without cause the netClaim to be negative)
TOTALS,fullResidualDeduct,The full residual Deductible amount. (fullDeduct - deductible))
TOTALS,residualDeduct,"The difference between the full deductible (fullDeduct) and the applied deductible (deductible), adjusted to keep the net claim if depreciation is recovered (netClaimIfRec)from dipping below 0.00."
TOTALS,fullResidualSalvRet,The full residual Salvage Retention amount (fullSalvRet - salvRetention)
TOTALS,residualSalvRet,"The difference between the full salvage amount (fullSalvRet) and the applied salvage amount (salvRetention), adjusted to keep the net claim if depreciation is recovered (netClaimIfRec) from dipping below 0.00."
TOTALS,netClaimIfRec,Net claim amount if depreciation is recovered.
TOTALS,acvCoins,"Coinsurance/ITV based on the ACV, adjusted to keep the net claim from dipping below 0.00.  This will only be set if the coverage is an ACV policy"
TOTALS,fullACVCoins,Full coinsurance/ITV amount based on the ACV.  This will only be set if the coverage is an ACV policy
TOTALS,replCostCoins,"Replacment Cost coinsurance/ITV amount, adjusted to keep the net claim with depreciation (netClaimIfRec) from dipping below 0.00.  This will only be set if the coverage is a replacement cost policy."
TOTALS,fullReplCostCoins,Full Replacement Cost coinsurance/ITV amount.  This will only be set if the coverage is a replacement cost policy.
TOTALS,fullAmtOverLimits,The amount exceeding the policy limits (ACV).
TOTALS,residualAmtOverLimits,The amount over limits subtracted in the RC Benefits portion of the report from the recoverable depreciation. This is the difference between the full replacement cost overage and the ACV overage that was applied (amtOverLimits). It may have been adjusted to keep the net claim from dipping below 0.00.
TOTALS,fullResAmtOverLimits,The amount over limits subtracted in the RC Benefits portion of the report from the recoverable depreciation. This is the difference between the full replacement cost overage and the ACV overage that was applied (amtOverLimits). It may have been adjusted to keep the net claim from dipping below 0.00.
TOTALS,priorPmtsAdj,"PriorPmtsAdj, adjusted to prevent the Net Claim from dropping below zero."
TOTALS,priorPmtsResidual,The difference between priorPmts and PriorPmtsAdj.
TOTALS,priorPmtsResidualAdj,Adjusted to prevent the net claim with depreciation from dropping below zero.
TOTALS,settlementFactor,"Factor deduction amount by coverage based on whether the coverage is ""Apply to ACV"", ""Apply to RC"" or ""Both""."
TOTALS,subtotal,"Subtotal of line item total plus the tax amount for all ""O and P on Tax"" type taxes."
TOTALS,lineItemTotal,"Line item total NOT including BSCs, Permits, or and Taxes."
TOTALS,rcv,Replacement Cost Value amount.
TOTALS,acv,Actual Cash Value amount.
TOTALS,directReplacement,"Total of all items marked for direct replacement, including tax and O&amp;P."
TOTALS,directReplacementOwed,Added additional direct replacement functionality.  Direct replacement is now the last deduction (except prior payment) before showing the net claim.  In addition the amount that the insured owes the carrier for replacement service will now be shown on the summary (when applicable). Direct replacement owed.
TOTALS,priorPmts,Summed total of all prior payments made.
