Element,Attribute,Description
ACTIVITY,,
ACTIVITY,process,The activity diary process name
ACTIVITY,activity,"The activity that happened (eg. Contact w insured, inspection, follow-up, etc)"
ACTIVITY,start,The start date/time for the activity
ACTIVITY,finish,The finish date/time for the activity
ACTIVITY,updated,The date/time of the last update to the activity
ACTIVITY,desc,The short description for the activity
ACTIVITY,longDesc,The extended description for the activity
ACTIVITY,remind,Indicates if there is a reminder set for this activity
ACTIVITY,todo,Indicates if the activity is marked as todo
ADDRESS,city,City
ADDRESS,country,Country
ADDRESS,county,County
ADDRESS,lat,The latitude of the address. Decimal degrees.
ADDRESS,lon,The Longitude of the address. Decimal degrees.
ADDRESS,postal,Postal or Zip code
ADDRESS,primary,Indicates that this is the Primary Address
ADDRESS,state,State
ADDRESS,street,Street Address 1
ADDRESS,street2,Street Address 2
ADDRESS,street3,Street Address 3
ADDRESS,type,"Home
Contact’s home address

Property
Property address – where the loss occurred. Used when contact type is Client.
This will populate Risk Location

Business
Business address"
ADM,agentCode,Customer defined. Not used in XA. 
ADM,agentName,Agent full name – first and last name together.
ADM,branchNumber,This data may not show up in Xactimate (profile dependent)
ADM,clientNumber,This data may not show up in Xactimate (profile dependent)
ADM,dateEntered,The date entered in XM8
ADM,dateProjCompleted,Date project was completed
ADM,dateJobCompleted,Date job was completed
ADM,dateContacted,Date insured was contacted
ADM,dateInspected,Date property was inspected
ADM,dateOfLoss,Date of Loss
ADM,dateReceived,Date received in XactAnalysis
ADM,fileNumber,File Number
ADM,onsite,Indicates the inspection was performed on site
ADM,estimatedOnsite,Indicates the estimate was generated on site
ADM,printOnsite,Indicates if it was printed on site
ADM,onsitePayment,Indicates if an on site payment was issued
ADM,numRmsAffected,Number of room affected
ADM,denial,Denial
ADM,denialExplanation,Explaniation of Denial
ADM,dateProjectedComplete,Date project was completed
ADM,dateProjectedStart,Date project was started
ADM,gt30WorkingDays,Greater than 30 working days
ADM,gt500PersonDays,Greater than 500 person days
ADMIN_INFO,branch,Branch office name
ADMIN_INFO,accessName,Name of person to contact to gain access to the property
ADMIN_INFO,accessPhone,Phone number of person to contact to gain access to the property
ADMIN_INFO,accessPhoneExt,Phone extension of person to contact to gain access to the property
ATT_FILE,fileName,Name of attached file
ATT_FILE,fileDesc,Description of attached file
ATT_FILE,fileType,Type of attached file
ATT_FILE,fileDate,Date of attached file
ATT_FILE,approvalStatus,Approval status of attached file
COL,desc,Description of Cause of Loss
COL,otherCause,Description of Other Cause
COMPANY,name,The name that the client works for
CONTACT,name,The contacts name
CONTACT,qcode,The carrier should populate qcode in order to edit and/or view the company information. Duplicate qcode values are permitted.
CONTACT,type,"Identifies the type of contact (client, adjuster, etc.)"
CONTACT,goesBy,Name the contact goes by
CONTACT,position,Position of contact
CONTACT,mortgageHolder,Name of Mortgage Holder
CONTACT,mortgageLoanNum,Loan Number
CONTACT,birthDate,Birthdate of Contact
CONTACT,reference,Reference of Contact
CONTACT,language,Language of Contact
CONTACT,title,Title of Contact
CONTACT,claimUnit,Claim Unit
CONTROL_POINT,reservation,"If the control point is the reviewed control point, this attribute indicates whether the record has been reviewed with reservations/exceptions."
CONTROL_POINT,stamp,The date and time of the control point. Indicates if the control point has been met.
CONTROL_POINT,type,"Identifies the type of the control point
These types are available on new assignments and assignment updates:
“Note”, “Carrier Desk Adjuster Assigned”, “Carrier Desk Adjuster Removed”, “Sender Desk Adjuster Assigned”, “Sender Desk Adjuster Removed”, “Attention Needed”
These types are available on assignment updates only (not new assignments):
“Reviewed”, “Contacted”, “Inspected”, “Not Sold”, “QA Rejected”, “QA Approved”, “Client Approved”, “Client Rejected”, “Job Started”, “Job Completed”, “File Closed”, “File Reopened”, “Rejected” (sender use only)"
CONTROL_POINT,user,"The user attribute is a legacy attribute that contains both first and last name. If the user attribute is used, XactAnalysis does not try to look up the XactAnalysis user."
CONTROL_POINT,userNumber,The user number internally used by XactAnalysis. This is always unique.
CONTROL_POINT,userId,The user id used to log into XactAnalysis. This is always unique.
CONTROL_POINT,flags,Any flags that are associated with the control point
CONTROL_POINT,amount,Any amount that is associated with the control point
CONTROL_POINT,userLastName,Last Name of User
CONTROL_POINT,userFirstName,First Name of User
CONTROL_POINTS,grossEstimate,Gross Estimate amount
CONTROL_POINTS,bill,Bill information associated with the control point
CONTROL_POINTS,referral,Referral information associated with the control point
CONTROL_POINTS,testAssignment,This indicates it's a test assignment
COVERAGE,applyTo,Applied to RCV/ACV
COVERAGE,coins,Co-Insurance (%)
COVERAGE,covName,Coverage Name
COVERAGE,covType,Base Coverage Type
COVERAGE,deductible,Deductible for coverage
COVERAGE,id,"Unique ID starting with ""COV"" followed by a number such as ""COV1"" or ""COV2"" or ""COV3""..."
COVERAGE,policyLimit,Policy Limit
COVERAGE,reserveAmt,Reserve Amount
COVERAGE,sharedLimitRefID,Indicates which coverage it shares a limit with
COVERAGE,sharedDeductibleRefID,Indicates which coverage it shares a deductible with
COVERAGE,addlCovType,Additional Coverage Type
COVERAGE,assocCov,Associated Coverage Type
COVERAGE_LOSS,claimNumber,Claim Number
COVERAGE_LOSS,policyNumber,Policy Number
COVERAGE_LOSS,catastrophe,Catastrophe Code
COVERAGE_LOSS,isCommercial,Indicates if the policy is commercial.
COVERAGE_LOSS,policyStart,Policy Start Date: Date policy is effective for the year.
COVERAGE_LOSS,policyEnd,Policy End Date: Date policy expires for the year.
COVERAGE_LOSS,dateInitCov,"The date the coverage began – if the carrier wants to provide only the year, the carrier places zeros in the month and day fields."
COVERAGE_LOSS,isTotalLoss,Indicates if the claim is a total loss
COVERAGE_LOSS,dedApplyAcrossAllUI,Whether the deductible is applied across all coverages
COVERAGE_LOSS,roofDamage,Indicates roof damage (Also in Generic Roughdraft data dictionary)
COVERAGE_LOSS,roofType,Indicates roof type
COVERAGE_LOSS,roofAge,indicates roof age
COVERAGE_LOSS,fullRoofReplacement,Indicates a full roof replacement
COVERAGE_LOSS,fullSidingReplacement,Indicates a full siding replacement
COVERAGE_LOSS,fullFencingReplacement,Indicates a full fencing replacement
COVERAGE_LOSS,fullHVACComponentReplacement,Indicates a full HVAC component replacement
COVERAGE_LOSS,fullWoodFlooringReplacement,Indicates a full wood flooring replacement
COVERAGE_LOSS,waiver,Indicates is a waiver
COVERAGE_LOSS,paidBillOnly,Indicates if only the bill was paid
COVERAGE_LOSS,penaltyAfterDeduct,Indicates is a penalty after the deductible
COVERAGE_LOSS,absorbDed,Indicates whether or not the deductible is absorbed
