
+------+---------------+---------------------------------+---------------------+---------------------+----------------------+--------------+--------------+------------+--------------+-----------+-----------------+-------------------+
|  ID  | transactionId |       recipientsXNAddress       | recipientsXM8UserId |        stamp        |  CONTROL_POINT_type  | CONTACT_type | contact_name | PHONE_type |    number    | extension |   claimNumber   | origTransactionId |
+------+---------------+---------------------------------+---------------------+---------------------+----------------------+--------------+--------------+------------+--------------+-----------+-----------------+-------------------+
| None |    007CBRP    |         ACSC.TEST.STAFF         |                     | 2020-10-15T14:41:35 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123414-8-W  |        None       |
| None |    006XBDJ    |         ACSC.TEST.STAFF         |                     | 2020-04-14T10:43:18 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003102330-8-W  |        None       |
| None |    0072NTQ    |         ACSC.TEST.STAFF         |                     | 2020-09-29T15:31:40 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003110723-8-W  |        None       |
| None |    0073B93    |         ACSC.TEST.STAFF         |                     | 2020-06-26T15:10:22 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003113296-8-W  |        None       |
| None |    007CGPB    |         ACSC.TEST.STAFF         |                     | 2020-10-20T15:32:00 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123860-8-W  |        None       |
| None |    00734R8    |          XACTNET.QUEUE          |                     | 2020-06-23T14:44:56 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003112883-8-W  |        None       |
| None |    0072R8K    |          XACTNET.QUEUE          |                     | 2020-06-17T08:53:32 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111274-8-W  |        None       |
| None |    007CKDZ    |         ACSC.TEST.STAFF         |                     | 2020-10-22T09:04:36 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123938-8-W  |        None       |
| None |    0072MM6    |          XACTNET.QUEUE          |                     | 2020-06-15T16:01:08 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003110557-8-W  |        None       |
| None |    00731P3    |           ACSC.TEST.PT          |                     | 2020-06-22T10:37:05 | Notification Pending |   ClaimRep   |     None     |   Office   | 714-850-8048 |           |  003112324-8-W  |        None       |
| None |    007319G    |          XACTNET.QUEUE          |                     | 2020-06-22T08:44:29 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111582-8-W  |        None       |
| None |    0075JLP    |          XACTNET.QUEUE          |                     | 2020-08-04T10:14:10 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003117242-8-W  |        None       |
| None |    00731SF    |         ACSC.TEST.STAFF         |                     | 2020-06-22T11:16:42 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003112353-8-W  |        None       |
| None |    006YBZC    |         ACSC.TEST.STAFF         |                     | 2020-09-29T14:52:10 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003103355-8-W  |        None       |
| None |    006YLN9    |           ACSC.TEST.PT          |                     | 2020-04-27T08:49:01 |       Canceled       |   ClaimRep   |     None     |   Office   | 714-850-8048 |           | 003103435-8-WWF |        None       |
| None |    007B9ZY    |          XACTNET.QUEUE          |                     | 2020-09-25T11:40:20 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003121748-8-W  |        None       |
| None |    006YLT6    |          XACTNET.QUEUE          |                     | 2020-04-27T10:09:03 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003103637-8-W  |        None       |
| None |    0072MDR    |         ACSC.TEST.STAFF         |                     | 2020-06-15T14:29:03 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003110402-8-W  |        None       |
| None |    007BG8F    |         ACSC.TEST.STAFF         |                     | 2020-09-29T11:52:01 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003121974-8-W  |        None       |
| None |    006YD3F    |          ACSC.TEST.DP5          |                     | 2020-04-23T16:04:34 | Notification Pending |   ClaimRep   |     None     |    None    |     None     |    None   |  003103433-8-W  |        None       |
| None |    007CCZF    |         ACSC.TEST.STAFF         |                     | 2020-10-16T08:46:26 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123478-8-W  |        None       |
| None |    006Y3XV    |          ACSC.TEST.DP5          |                     | 2020-04-21T14:04:38 | Notification Pending |   ClaimRep   |     None     |    None    |     None     |    None   |  003103080-8-W  |        None       |
| None |    0073LRH    |          XACTNET.QUEUE          |                     | 2020-07-02T10:34:52 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003113870-8-W  |        None       |
| None |    007286K    |         ACSC.TEST.STAFF         |                     | 2020-06-08T15:49:20 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003108845-8-W  |        None       |
| None |    007BSNZ    |          ACSC.TEST.DP5          |                     | 2020-10-06T15:12:37 | Notification Pending |   ClaimRep   |     None     |    None    |     None     |    None   |  003122559-8-W  |        None       |
| None |    00731N2    |           ACSC.TEST.PT          |                     | 2020-06-22T10:24:27 |    Site Inspected    |   ClaimRep   |     None     |   Office   | 714-850-8048 |           |  003112315-8-W  |        None       |
| None |    0072MK8    |          XACTNET.QUEUE          |                     | 2020-06-15T15:23:56 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003110517-8-W  |        None       |
| None |    0073417    |          XACTNET.QUEUE          |                     | 2020-06-23T09:37:49 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003112641-8-W  |        None       |
| None |    0072MCC    |         ACSC.TEST.STAFF         |                     | 2020-06-15T13:57:26 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003110410-8-W  |        None       |
| None |    0075L6W    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:00:55 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003117387-8-W  |        None       |
| None |    006MTM2    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:05:09 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  005038432-8-X  |        None       |
| None |    0077X6T    |         ACSC.TEST.STAFF         |                     | 2020-09-03T08:02:07 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  005045827-8-X  |        None       |
| None |    007317Y    |          XACTNET.QUEUE          |                     | 2020-06-22T08:43:22 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111399-8-W  |        None       |
| None |    00703Y6    |          XACTNET.QUEUE          |                     | 2020-05-08T14:35:10 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003104954-8-W  |        None       |
| None |    007BV2Z    |         ACSC.TEST.STAFF         |                     | 2020-10-07T14:25:46 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003122650-8-W  |        None       |
| None |    0071GHD    |         ACSC.TEST.STAFF         |                     | 2020-09-29T15:27:26 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003106774-8-W  |        None       |
| None |    0072LSM    |          XACTNET.QUEUE          |                     | 2020-06-15T09:14:16 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003110232-8-W  |        None       |
| None |    0071K2F    |          XACTNET.QUEUE          |                     | 2020-05-27T16:37:34 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003107061-8-W  |        None       |
| None |    0071TDM    |          ACSC.TEST.DP5          |                     | 2020-06-01T15:21:06 | Notification Pending |   ClaimRep   |     None     |    None    |     None     |    None   |  003107507-8-W  |        None       |
| None |    007C9NT    |         ACSC.TEST.STAFF         |                     | 2020-10-15T14:33:53 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123273-8-W  |        None       |
| None |    007CDL1    |         ACSC.TEST.STAFF         |                     | 2020-10-16T15:48:32 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123609-8-W  |        None       |
| None |    007CGK2    |         ACSC.TEST.STAFF         |                     | 2020-10-20T14:05:58 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123840-8-W  |        None       |
| None |    0073CGP    |         ACSC.TEST.STAFF         |                     | 2020-06-29T10:07:39 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003113379-8-W  |        None       |
| None |    00722V3    |         ACSC.TEST.STAFF         |                     | 2020-09-29T15:29:04 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003108093-8-W  |        None       |
| None |    007131S    |          XACTNET.QUEUE          |                     | 2020-05-19T09:25:45 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003105930-8-W  |        None       |
| None |    007C0FS    |         ACSC.TEST.STAFF         |                     | 2020-10-09T14:54:41 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003122865-8-W  |        None       |
| None |    0076JDD    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:09:24 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  005045194-8-X  |        None       |
| None |    00733WV    |         ACSC.TEST.STAFF         |                     | 2020-06-23T08:25:12 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003112613-8-W  |        None       |
| None |    006Z0L3    |          XACTNET.QUEUE          |                     | 2020-05-01T15:28:23 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003104118-8-W  |        None       |
| None |    006XFWM    |          XACTNET.QUEUE          |                     | 2020-04-15T15:23:28 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003102477-8-W  |        None       |
| None |    0075L7K    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:01:04 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003117397-8-W  |        None       |
| None |    00734R7    |          XACTNET.QUEUE          |                     | 2020-06-23T14:43:28 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003112882-8-W  |        None       |
| None |    007146C    |         ACSC.TEST.STAFF         |                     | 2020-05-19T14:07:02 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003106002-8-W  |        None       |
| None |    00731RD    |          XACTNET.QUEUE          |                     | 2020-06-22T10:57:08 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003112337-8-W  |        None       |
| None |    007BSJS    |          XACTNET.QUEUE          |                     | 2020-10-06T13:34:33 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003122530-8-W  |        None       |
| None |    007CHWV    |         ACSC.TEST.STAFF         |                     | 2020-10-21T11:35:10 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123885-8-W  |        None       |
| None |    0072P4R    |          XACTNET.QUEUE          |                     | 2020-06-16T10:44:17 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003110840-8-W  |        None       |
| None |    007BG65    |         ACSC.TEST.STAFF         |                     | 2020-09-29T11:27:57 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003121816-8-W  |        None       |
| None |    006P7WD    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:06:08 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  005039810-8-X  |        None       |
| None |    006YM4R    |           ACSC.TEST.PT          |                     | 2020-04-27T13:57:20 | Notification Pending |   ClaimRep   |     None     |   Office   | 714-850-8048 |           |  003103458-8-WF |        None       |
| None |    0072R8S    |          XACTNET.QUEUE          |                     | 2020-06-17T08:57:12 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111277-8-W  |        None       |
| None |    0072NN5    |          XACTNET.QUEUE          |                     | 2020-06-16T07:28:20 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003110627-8-W  |        None       |
| None |    00734B9    |          XACTNET.QUEUE          |                     | 2020-06-23T11:07:52 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003112712-8-W  |        None       |
| None |    006YH95    |          XACTNET.QUEUE          |                     | 2020-04-24T09:33:11 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003103486-8-W  |        None       |
| None |    007CKF9    |       SERVPRO.TEST.ONLINE       |                     | 2020-10-22T09:17:01 |       Notified       |   ClaimRep   |     None     |    None    |     None     |    None   |  CN.XD.1022.00  |        None       |
| None |    007319W    |          XACTNET.QUEUE          |                     | 2020-06-22T08:44:52 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111687-8-W  |        None       |
| None |    007317R    |          XACTNET.QUEUE          |                     | 2020-06-22T08:43:13 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111393-8-W  |        None       |
| None |    007C9TC    |         ACSC.TEST.STAFF         |                     | 2020-10-14T16:07:14 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123308-8-W  |        None       |
